what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687391093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687392930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687430262
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687457228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687463340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687517451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338687553290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687555208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338687636292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338687645316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687675402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687732625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687737963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687739176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687742749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687744060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687747505
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338687760680
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1338687766819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687777516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338687780785
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1338687780824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338687780824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687785517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687787468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1338687802409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338687806920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1338687867979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338687870384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338687873809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338687875021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338687970080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338688048170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338688049725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338688246253
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338688251111
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338688277534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338688280120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338688325581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338688326101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338688326500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338688328190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1338688382629
