what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280899946
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339280903339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280917716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280961290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280962362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280974874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339280979531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281037710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339281043171
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339281050710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281057647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281090340
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339281097837
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339281101674
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339281108627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339281112900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339281116035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339281124410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281136173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281155040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281156092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281180704
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339281194581
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339281197621
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339281199250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339281205647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339285149514
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339285149818
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339285150579
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1339285150580
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1339285150580
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1339285150581
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339285150581
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1339285150582
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339285150582
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339285150582
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1339285150605
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339285150605
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339285150606
