what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289655960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289660886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289662476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289683861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339289686676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289709499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289718263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1339289728160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289730437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339289996207
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339290029669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290034600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290049780
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1339290050238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339290060432
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339290064708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290066930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290150450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290153693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290157168
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339290164364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339290181585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290248141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290248395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290268999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290278533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339290342121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339290397708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290400780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339290416069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290423003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339290494942
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339290501735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290504831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290527313
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339290549832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290555143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290565227
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339290565346
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339290565410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290572759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290582024
failed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1339290582082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290591982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290598150
failed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1339290598212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290617572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290617782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290632320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339290665450
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1339290665591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339290795490
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1339290795999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290798694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290799542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290800262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290801030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339290801756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339290851950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291060200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291060412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291120667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291120891
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339291184788
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339291188085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339291188153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339291204542
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339291204542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339291251138
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339291262440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291265801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291274494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339291345348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339291347246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291398413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291398601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339291750549
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339291766935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291770917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339291775653
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339291947576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339291965699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339291969574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292000632
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339292004002
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339292006305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292011359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292014992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292015837
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339292022356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292024133
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339292032104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292034734
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339292058456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339292079436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292084658
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339292090952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292092084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292119319
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339292120740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339292130622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339292133433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292137550
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339292141482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292144396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292195110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339292303930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292309677
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1339292312844
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339292322819
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339292322869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339292322894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1339292322984
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339292334241
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339292334778
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339292334827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339292340889
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339292342262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339292343294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292503942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292532649
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339292535823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339292600347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339292602179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339292786567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339293694068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339352806375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339352808969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339352812853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339352814851
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339352832241
